Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,CA-2020-000001,01/03/2020,06/03/2020,Standard Class,CG-12100,Customer 0,Consumer,United States,New York,New York,East,Furniture,Chairs,45.98,2,0.0,12.34
2,CA-2020-000002,01/03/2020,06/03/2020,Standard Class,CG-12101,Customer 1,Consumer,United States,New York,New York,East,Furniture,Chairs,1199.99,5,0.15,299.99
3,CA-2020-000003,01/03/2020,06/03/2020,Standard Class,CG-12102,Customer 2,Consumer,United States,New York,New York,East,Furniture,Chairs,56.45,3,0.0,-15.67
4,CA-2020-000004,01/03/2020,06/03/2020,Standard Class,CG-12103,Customer 3,Consumer,United States,New York,New York,East,Furniture,Chairs,899.99,1,0.2,179.99
5,CA-2020-000005,01/03/2020,06/03/2020,Standard Class,CG-12104,Customer 4,Consumer,United States,New York,New York,East,Furniture,Chairs,234.56,4,0.1,58.64
6,CA-2020-000006,01/03/2020,06/03/2020,Standard Class,CG-12105,Customer 5,Consumer,United States,New York,New York,East,Furniture,Chairs,678.9,2,0.0,169.73
7,CA-2020-000007,01/03/2020,06/03/2020,Standard Class,CG-12106,Customer 6,Consumer,United States,New York,New York,East,Furniture,Chairs,1456.78,6,0.15,364.2
8,CA-2020-000008,01/03/2020,06/03/2020,Standard Class,CG-12107,Customer 7,Consumer,United States,New York,New York,East,Furniture,Chairs,123.45,3,0.0,30.86
9,CA-2020-000009,01/03/2020,06/03/2020,Standard Class,CG-12108,Customer 8,Consumer,United States,New York,New York,East,Furniture,Chairs,567.89,2,0.1,141.97
10,CA-2020-000010,01/03/2020,06/03/2020,Standard Class,CG-12109,Customer 9,Consumer,United States,New York,New York,East,Furniture,Chairs,345.67,4,0.0,86.42
11,CA-2020-000011,01/03/2020,06/03/2020,Standard Class,CG-12110,Customer 10,Consumer,United States,New York,New York,East,Furniture,Chairs,45.98,2,0.0,12.34
12,CA-2020-000012,01/03/2020,06/03/2020,Standard Class,CG-12111,Customer 11,Consumer,United States,New York,New York,East,Furniture,Chairs,1199.99,5,0.15,299.99
13,CA-2020-000013,01/03/2020,06/03/2020,Standard Class,CG-12112,Customer 12,Consumer,United States,New York,New York,East,Furniture,Chairs,56.45,3,0.0,-15.67
14,CA-2020-000014,01/03/2020,06/03/2020,Standard Class,CG-12113,Customer 13,Consumer,United States,New York,New York,East,Furniture,Chairs,899.99,1,0.2,179.99
15,CA-2020-000015,01/03/2020,06/03/2020,Standard Class,CG-12114,Customer 14,Consumer,United States,New York,New York,East,Furniture,Chairs,234.56,4,0.1,58.64
16,CA-2020-000016,01/03/2020,06/03/2020,Standard Class,CG-12115,Customer 15,Consumer,United States,New York,New York,East,Furniture,Chairs,678.9,2,0.0,169.73
17,CA-2020-000017,01/03/2020,06/03/2020,Standard Class,CG-12116,Customer 16,Consumer,United States,New York,New York,East,Furniture,Chairs,1456.78,6,0.15,364.2
18,CA-2020-000018,01/03/2020,06/03/2020,Standard Class,CG-12117,Customer 17,Consumer,United States,New York,New York,East,Furniture,Chairs,123.45,3,0.0,30.86
19,CA-2020-000019,01/03/2020,06/03/2020,Standard Class,CG-12118,Customer 18,Consumer,United States,New York,New York,East,Furniture,Chairs,567.89,2,0.1,141.97
20,CA-2020-000020,01/03/2020,06/03/2020,Standard Class,CG-12119,Customer 19,Consumer,United States,New York,New York,East,Furniture,Chairs,345.67,4,0.0,86.42
21,CA-2020-000021,01/03/2020,06/03/2020,Standard Class,CG-12120,Customer 20,Consumer,United States,New York,New York,East,Furniture,Tables,45.98,2,0.0,12.34
22,CA-2020-000022,01/03/2020,06/03/2020,Standard Class,CG-12121,Customer 21,Consumer,United States,New York,New York,East,Furniture,Tables,1199.99,5,0.15,299.99
23,CA-2020-000023,01/03/2020,06/03/2020,Standard Class,CG-12122,Customer 22,Consumer,United States,New York,New York,East,Furniture,Tables,56.45,3,0.0,-15.67
24,CA-2020-000024,01/03/2020,06/03/2020,Standard Class,CG-12123,Customer 23,Consumer,United States,New York,New York,East,Furniture,Tables,899.99,1,0.2,179.99
25,CA-2020-000025,01/03/2020,06/03/2020,Standard Class,CG-12124,Customer 24,Consumer,United States,New York,New York,East,Furniture,Tables,234.56,4,0.1,58.64
26,CA-2020-000026,01/03/2020,06/03/2020,Standard Class,CG-12125,Customer 25,Consumer,United States,Los Angeles,California,West,Furniture,Tables,678.9,2,0.0,169.73
27,CA-2020-000027,01/03/2020,06/03/2020,Standard Class,CG-12126,Customer 26,Consumer,United States,Los Angeles,California,West,Furniture,Tables,1456.78,6,0.15,364.2
28,CA-2020-000028,01/03/2020,06/03/2020,Standard Class,CG-12127,Customer 27,Consumer,United States,Los Angeles,California,West,Furniture,Tables,123.45,3,0.0,30.86
29,CA-2020-000029,01/03/2020,06/03/2020,Standard Class,CG-12128,Customer 28,Consumer,United States,Los Angeles,California,West,Furniture,Tables,567.89,2,0.1,141.97
30,CA-2020-000030,01/03/2020,06/03/2020,Standard Class,CG-12129,Customer 29,Consumer,United States,Los Angeles,California,West,Furniture,Tables,345.67,4,0.0,86.42
