order_id,customer_id,order_date,order_amount,quantity,membership_level
1,8270,2024-04-17,128.84,2,Bronze
2,1860,2024-12-01,1346.57,2,Gold
3,6390,2023-08-08,1168.6,9,Gold
4,6191,2024-05-21,1980.52,2,Gold
5,6734,2023-10-26,485.93,6,Gold
6,7265,2025-04-30,1066.17,2,Bronze
7,1466,2024-02-16,1305.41,5,Silver
8,5426,2023-08-05,1292.74,4,Bronze
9,6578,2023-08-22,1126.97,7,
10,9322,2024-09-15,1556.09,7,Gold
11,2685,2025-05-22,417.91,6,Silver
12,1769,2024-10-08,1454.0,5,Gold
13,7949,2023-02-25,1243.27,1,Bronze
14,3433,2024-12-25,1793.19,0,Bronze
15,6311,2024-07-21,1695.92,9,Bronze
16,6051,2024-11-16,637.14,1,Bronze
17,7420,2024-03-28,559.71,5,Bronze
18,2184,2023-01-01,-1963.49,2,Silver
19,5555,2024-03-27,1059.26,4,Bronze
20,4385,2024-07-10,1813.78,1,Gold
21,7396,2024-08-13,336.12,3,Gold
22,9666,2024-10-27,1289.21,7,Gold
23,3558,2025-05-03,1621.62,3,Gold
24,8849,2024-08-06,1895.32,4,Silver
25,3047,2023-02-16,681.31,2,Gold
26,3747,2025-02-15,1452.71,3,Silver
27,1189,2023-01-01,1082.24,9,Gold
28,3734,2024-08-16,130.65,3,
29,4005,2023-06-15,1383.1,5,Silver
30,5658,2024-09-01,1383.29,2,Silver
31,2899,2024-01-01,1861.91,4,Gold
32,8734,2024-04-20,999.65,7,Silver
33,2267,2024-10-26,468.2,7,Bronze
34,2528,2023-09-07,98.68,3,Bronze
35,4556,2023-09-03,837.13,5,Gold
36,4890,2023-05-20,610.81,1,Bronze
37,9838,2024-12-15,1524.57,1,Bronze
38,6393,2023-07-07,714.99,5,Bronze
39,9792,2023-05-08,1898.65,9,Gold
40,9433,2023-12-22,1925.0,1,Gold
41,8513,2023-01-02,1245.61,1,Bronze
42,3612,2025-04-28,1858.03,4,Gold
43,8041,2025-08-04,1524.1,4,Silver
44,7235,2025-03-16,1098.25,2,Bronze
45,6486,2023-12-06,368.81,9,Gold
46,8099,2024-06-19,922.61,9,Gold
47,1775,2024-05-12,1126.14,2,Bronze
48,9226,2023-01-20,1729.28,9,Gold
49,4152,2023-03-12,967.85,6,Bronze
50,2585,2024-02-25,1796.37,8,Gold
51,4943,2025-09-22,1351.95,4,
52,8555,2023-01-24,282.63,2,Bronze
53,4073,2024-09-07,1990.01,2,Silver
54,2021,2025-02-12,1059.19,9,Bronze
55,4843,2025-07-21,789.8,1,Gold
56,8989,2025-07-22,1321.64,7,Silver
57,7873,2025-08-06,226.7,3,Gold
58,6675,2024-03-06,1276.71,3,Bronze
59,1161,2025-03-31,1001.49,2,Bronze
60,5297,2024-12-31,819.28,6,
61,1995,2025-06-05,1906.51,2,Bronze
62,8629,2023-01-26,1049.85,4,Bronze
63,2016,2023-12-28,446.04,9,Silver
64,8869,2023-06-29,923.34,9,Bronze
65,7439,2023-09-05,1839.58,6,Gold
66,8892,2023-04-25,360.43,4,Silver
67,7863,2023-10-06,435.77,7,
68,8916,2025-03-19,35.93,1,Bronze
69,9529,2025-02-13,38.24,4,Gold
70,1878,2024-05-20,1660.49,5,Silver
71,5887,2024-04-30,1466.92,8,Silver
72,5859,2025-09-02,716.53,2,Silver
73,7331,2025-01-01,1399.64,5,Gold
74,9571,2023-07-01,796.46,6,Silver
75,9684,2023-06-06,1906.26,5,Gold
76,8208,2025-06-15,1934.43,9,Bronze
77,6276,2025-01-28,791.66,1,Bronze
78,3062,2024-11-08,1709.9,3,Gold
79,1064,2024-12-25,1548.45,2,Silver
80,9006,2024-12-09,626.9,0,Gold
81,3568,2023-05-10,471.76,9,Gold
82,6463,2025-07-04,921.89,9,Gold
83,3027,2024-01-06,1564.88,999,
84,3695,2024-11-06,1920.73,3,Gold
85,6258,2023-03-17,1529.52,4,Bronze
86,6618,2025-08-13,1711.86,9,Gold
87,7736,2025-02-27,1210.1,3,Bronze
88,1391,2023-02-14,1672.46,7,Gold
89,6892,2023-08-21,1571.0,3,Gold
90,4561,2025-08-30,-760.2,7,Silver
91,7184,2023-09-22,1108.46,7,Silver
92,4099,2023-08-31,1611.46,9,Gold
93,7278,2025-06-21,101.65,2,Gold
94,9392,2023-08-09,1618.08,6,Gold
95,4104,2025-05-22,364.0,9,Gold
96,8215,2024-04-10,1034.22,2,Silver
97,3454,2025-02-08,1618.47,2,Bronze
98,9996,2024-04-18,515.1,5,Gold
99,3731,2023-01-18,499.16,8,Silver
100,9154,2025-02-28,811.5,9,Gold
101,6056,2024-02-22,1790.34,2,Gold
102,9110,2025-03-19,10.88,5,Bronze
103,4840,2023-10-17,1803.75,7,Gold
104,2028,2023-02-09,316.08,6,Gold
105,8385,2023-06-03,1980.27,6,Bronze
106,1502,2025-03-26,1910.15,7,Bronze
107,7910,2025-03-18,994.4,3,Bronze
108,7938,2024-07-28,1030.31,3,Bronze
109,5488,2025-02-01,968.28,9,Silver
110,1206,2023-03-18,1274.53,8,Silver
111,6134,2024-10-07,190.54,5,Silver
112,6977,2023-10-07,74.91,6,Gold
113,8721,2025-05-07,124.83,1,Bronze
114,8035,2025-02-27,894.29,1,Bronze
115,2484,2024-11-06,558.34,4,Silver
116,8858,2025-04-02,1247.86,2,Gold
117,1863,2024-06-30,1984.96,7,Gold
118,3790,2023-06-13,778.78,2,Gold
119,8408,2023-10-31,1151.94,2,Silver
120,9755,2025-02-14,837.05,5,Gold
121,6116,2025-03-31,1696.07,4,Gold
122,7019,2024-11-30,1805.45,8,Gold
123,2757,2023-05-28,1755.94,4,Bronze
124,8574,2023-03-18,1949.0,6,Silver
125,7374,2025-06-22,64.76,5,Bronze
126,7892,2024-05-20,1681.23,2,Bronze
127,2678,2025-07-21,1506.03,8,Silver
128,4242,2023-06-22,465.1,2,Bronze
129,5636,2025-06-13,1913.08,9,Gold
130,2059,2025-08-12,304.87,9,Gold
131,7668,2025-01-02,1362.3,3,Gold
132,4157,2024-02-23,457.53,4,Gold
133,6915,2023-05-15,868.45,8,Silver
134,3693,2024-02-07,1441.13,9,
135,4627,2023-06-24,1131.02,3,Bronze
136,6450,2025-03-05,860.73,5,Gold
137,2663,2024-05-27,659.41,8,Gold
138,6592,2024-09-04,1680.92,3,Bronze
139,8392,2025-01-14,296.19,7,Silver
140,2306,2023-01-11,865.9,8,Bronze
141,7776,2024-01-10,1808.48,3,Gold
142,6864,2025-05-24,1693.24,2,Gold
143,8526,2024-05-20,807.87,7,Silver
144,9901,2023-08-25,1528.59,9,Bronze
145,6575,2024-02-19,1648.09,1,Silver
146,6530,2025-03-22,1778.89,3,Silver
147,5413,2025-03-16,1093.57,5,Gold
148,4748,2023-05-19,416.88,3,Bronze
149,1663,2025-06-03,518.07,1,Gold
150,2998,2023-07-08,598.43,7,
151,8994,2025-06-27,1191.67,7,Gold
152,2495,2023-03-16,75.29,8,Gold
153,4304,2025-03-18,1275.72,5,Bronze
154,4763,2024-01-31,735.06,5,Bronze
155,6232,2023-03-26,597.53,5,Gold
156,2853,2023-08-27,1760.2,1,Bronze
157,7585,2024-12-29,925.4,5,Gold
158,2291,2023-02-23,199.16,6,Bronze
159,4581,2023-07-12,1655.23,1,Gold
160,8554,2023-03-18,104.81,7,Gold
161,8280,2024-08-17,1456.23,1,Gold
162,2636,2025-05-11,1550.07,2,Silver
163,4696,2024-04-26,711.68,2,Bronze
164,1698,2025-09-14,1651.33,5,Gold
165,5737,2023-09-07,1036.16,7,Silver
166,1854,2025-10-01,931.95,1,Gold
167,9164,2025-04-30,100.35,1,Silver
168,6855,2023-05-15,587.16,1,Gold
169,8392,2025-01-04,1862.71,6,Gold
170,7528,2025-06-06,789.73,2,Silver
171,6249,2025-04-18,1097.93,0,Silver
172,6172,2024-06-17,1068.72,6,Bronze
173,2707,2024-02-03,1184.96,2,Bronze
174,6791,2023-08-30,132.05,6,Silver
175,6535,2025-06-18,730.73,8,Bronze
176,5931,2023-08-21,1449.03,2,Silver
177,4510,2024-07-02,409.11,9,Bronze
178,1202,2024-03-06,415.12,8,Gold
179,5218,2025-02-11,30.08,1,Bronze
180,9958,2024-06-17,880.59,7,Gold
181,5389,2024-06-14,1766.64,6,Gold
182,3327,2024-06-13,113.28,6,Bronze
183,9004,2023-07-17,390.33,6,Silver
184,3931,2024-01-13,627.07,6,Gold
185,8777,2025-10-06,1466.13,7,Gold
186,1197,2025-09-16,1284.86,3,Bronze
187,8125,2024-07-28,837.73,6,Silver
188,2930,2024-10-09,1520.55,3,Silver
189,7287,2024-01-30,1223.17,7,Bronze
190,9800,2024-09-27,1793.12,7,Silver
191,5282,2024-11-29,1637.87,8,Bronze
192,3511,2023-03-02,513.1,2,Bronze
193,1659,2023-06-05,550.16,9,Bronze
194,3811,2023-05-28,259.46,5,Gold
195,8098,2024-12-06,680.56,9,Gold
196,7546,2023-07-12,1999.09,5,Gold
197,2986,2024-12-20,817.44,7,Bronze
198,9338,2023-07-06,448.77,9,Gold
199,3911,2024-06-14,1527.34,4,Gold
200,2734,2023-07-24,1089.52,2,Gold
201,2843,2025-08-12,307.71,9,Bronze
202,9680,2023-06-18,767.57,2,Bronze
203,3976,2024-02-09,834.79,3,Bronze
204,2959,2024-01-20,1510.12,2,Gold
205,6759,2023-06-24,51.14,3,Silver
206,7694,2023-12-02,545.35,6,Gold
207,3385,2023-07-23,1040.02,3,
208,5736,2025-01-05,545.01,8,Bronze
209,2802,2023-03-15,1260.58,6,Bronze
210,9155,2025-03-05,-968.92,7,Gold
211,9120,2023-10-12,729.8,1,Gold
212,7616,2024-05-30,1898.93,3,Silver
213,6534,2024-05-15,1268.0,3,Silver
214,5061,2025-03-15,268.58,2,Bronze
215,1262,2023-01-21,1124.58,7,Silver
216,7287,2025-02-13,1563.66,9,Silver
217,9815,2025-07-26,1419.89,4,Bronze
218,3049,2024-11-08,352.46,5,Silver
219,6423,2023-11-01,1945.12,3,Gold
220,5548,2025-03-30,903.14,9,Silver
221,4108,2023-09-16,326.46,4,Bronze
222,8158,2024-02-21,368.59,5,Gold
223,8400,2023-11-15,205.49,1,Silver
224,4170,2023-12-02,1609.0,2,Gold
225,3255,2025-10-01,252.84,9,
226,2154,2023-05-26,259.0,2,Silver
227,5499,2025-03-07,1702.44,5,Silver
228,7295,2024-07-02,695.76,8,Bronze
229,7197,2023-06-25,71.41,3,Bronze
230,2648,2023-01-23,113.27,6,Gold
231,6539,2023-02-07,292.92,4,Bronze
232,5199,2023-10-07,434.65,7,Gold
233,9445,2025-04-09,1333.64,3,Gold
234,3557,2023-11-21,323.08,6,Bronze
235,6592,2025-05-24,246.56,9,Bronze
236,1098,2024-06-25,1531.79,1,Bronze
237,3200,2025-09-07,1345.4,3,Silver
238,3961,2025-05-22,876.3,2,Gold
239,5973,2023-10-15,1103.13,8,Gold
240,5433,2024-10-27,630.85,7,
241,3869,2024-04-25,970.18,2,Bronze
242,1956,2025-09-20,1018.28,6,Bronze
243,9352,2025-06-18,780.6,3,Bronze
244,6699,2025-09-28,1814.08,0,Bronze
245,7944,2023-01-20,41.96,3,Bronze
246,5493,2025-06-12,1566.52,9,Silver
247,5911,2025-09-09,257.52,1000,Bronze
248,4987,2025-01-08,1597.12,5,Gold
249,7015,2023-05-29,1235.66,3,Bronze
250,2218,2023-10-15,1688.12,6,Gold
251,5496,2023-08-27,204.05,2,Bronze
252,5735,2025-03-28,1122.37,9,Bronze
253,5555,2024-08-18,1007.16,6,Gold
254,9050,2024-03-11,1415.32,7,Gold
255,4446,2024-10-10,1073.24,5,Gold
256,2045,2024-01-05,1086.06,9,Gold
257,7893,2024-11-15,864.9,1,Silver
258,2693,2025-01-10,624.58,5,Gold
259,4436,2025-03-15,969.71,6,Bronze
260,9754,2025-04-16,245.8,7,Bronze
261,6895,2024-03-16,1923.41,4,Silver
262,4354,2024-06-17,1431.68,1,Gold
263,1225,2024-11-01,1905.41,8,Bronze
264,5893,2023-07-02,461.19,4,Silver
265,8022,2024-03-09,1759.89,3,Bronze
266,6600,2024-11-21,1619.49,7,Silver
267,8996,2025-08-11,1357.53,2,Silver
268,8683,2025-02-15,1253.81,8,Gold
269,5642,2025-08-30,639.93,6,Silver
270,8679,2024-01-10,1634.66,7,Bronze
271,9208,2024-12-03,1008.02,5,Bronze
272,8339,2023-09-28,151.07,9,Gold
273,3205,2024-04-28,632.6,5,Gold
274,2069,2024-07-01,1871.24,5,Silver
275,4444,2023-07-06,1702.85,3,Gold
276,2060,2024-09-25,1963.99,1,Bronze
277,3327,2024-01-16,1259.71,2,Bronze
278,4420,2023-01-16,502.55,8,Gold
279,1301,2023-02-23,334.0,1,Gold
280,1606,2024-09-24,381.96,7,Gold
281,4170,2023-06-13,49.39,5,Silver
282,1699,2023-12-18,787.46,999,Silver
283,6088,2024-12-12,390.94,7,Bronze
284,1190,2025-09-12,829.19,9,Silver
285,1980,2025-08-23,1870.64,2,Silver
286,3975,2023-06-28,866.78,8,Silver
287,7102,2024-03-12,1757.19,9,Silver
288,2184,2023-12-05,1214.95,3,Bronze
289,4327,2023-12-13,501.79,2,Gold
290,4394,2024-06-24,718.15,7,Bronze
291,9319,2024-05-21,177.0,5,Silver
292,2816,2025-05-15,673.59,5,Gold
293,6854,2024-10-21,1358.31,5,Gold
294,7709,2023-06-30,153.5,4,Gold
295,1569,2024-03-02,418.75,5,Bronze
296,6442,2023-08-14,769.07,4,Gold
297,2895,2024-05-16,1964.28,6,Bronze
298,3733,2023-05-26,1571.88,4,Bronze
299,4863,2023-03-23,1469.64,2,
300,8455,2023-10-24,241.22,9,Silver
301,5014,2025-08-22,1564.18,2,Gold
302,2686,2023-06-26,1572.68,9,Gold
303,4009,2024-02-29,1206.19,6,Silver
304,8806,2023-06-09,1980.82,9,Bronze
305,1154,2023-03-20,657.26,9,Bronze
306,2409,2025-10-19,1883.13,3,
307,1784,2025-09-03,1830.31,1,Bronze
308,9096,2025-05-24,32.85,1,Silver
309,8560,2025-06-23,905.73,3,Silver
310,8343,2023-07-06,1954.44,5,Gold
311,8206,2023-04-21,215.21,3,Gold
312,6596,2025-02-25,1100.09,9,Silver
313,6801,2024-09-01,1958.13,9,Gold
314,3806,2023-01-27,1115.44,3,Silver
315,1537,2023-08-31,387.73,3,Bronze
316,6986,2025-06-16,1168.54,5,Bronze
317,2841,2024-06-28,416.84,2,Bronze
318,9716,2023-09-03,1044.21,6,Bronze
319,7971,2024-05-31,157.34,7,Silver
320,6625,2025-07-31,1214.91,9,Bronze
321,3950,2025-06-19,1038.41,6,Bronze
322,8992,2024-11-08,1482.92,3,Bronze
323,5780,2025-05-05,-1265.09,5,Bronze
324,3368,2025-10-19,1103.72,4,Silver
325,7655,2023-06-20,1382.66,5,Bronze
326,9173,2023-07-22,296.44,8,Gold
327,5495,2025-08-07,1194.77,8,Gold
328,7002,2023-11-18,352.5,6,Gold
329,7614,2025-10-04,1851.79,1,Gold
330,6919,2023-06-01,145.98,8,Gold
331,1853,2024-01-19,866.45,8,Gold
332,5146,2024-05-28,1394.64,2,Silver
333,4769,2024-11-23,-921.46,4,Gold
334,1574,2023-12-17,193.27,2,Bronze
335,2148,2023-03-09,1111.22,4,Gold
336,7293,2024-08-15,1286.85,7,Silver
337,7457,2025-09-01,1410.55,9,Gold
338,8509,2025-04-16,752.79,8,Bronze
339,5777,2025-08-15,1131.68,9,Bronze
340,4854,2024-06-10,906.87,8,Silver
341,3491,2023-12-03,1347.39,2,Silver
342,4124,2025-04-21,1171.28,7,Silver
343,6691,2024-02-01,1056.25,2,Silver
344,4051,2023-01-22,506.55,2,Gold
345,1004,2023-08-31,14.02,4,Gold
346,6222,2025-01-05,356.42,1,Bronze
347,6315,2023-07-13,242.96,5,Silver
348,5869,2025-01-06,903.68,6,Silver
349,1876,2025-03-20,1228.39,9,Gold
350,8027,2023-10-13,434.04,8,Silver
351,5142,2024-04-18,1878.72,2,Bronze
352,7966,2024-11-26,23.3,1,Bronze
353,8079,2025-01-14,1546.88,2,Silver
354,8987,2025-09-16,1254.16,7,Bronze
355,7799,2024-10-31,753.37,4,Bronze
356,5465,2024-05-12,110.47,5,Gold
357,1635,2023-05-25,1258.7,7,Bronze
358,2693,2023-09-29,777.37,3,Silver
359,5752,2025-02-24,1873.17,2,Silver
360,9311,2025-10-19,1088.56,7,Bronze
361,1830,2023-07-28,1879.91,5,Silver
362,6177,2025-05-26,448.76,1,Gold
363,9932,2023-03-29,1454.19,1,Bronze
364,9308,2023-08-04,1238.33,9,Bronze
365,6949,2023-10-14,1481.42,5,Bronze
366,3838,2025-06-17,437.19,1,Silver
367,2150,2023-02-19,1333.34,7,Silver
368,8560,2023-08-05,1001.1,9,Bronze
369,2931,2025-08-12,1488.22,1,Silver
370,2664,2023-09-29,660.82,4,Silver
371,2081,2024-12-21,1781.21,3,Bronze
372,1512,2025-09-21,177.76,5,Bronze
373,8805,2025-02-12,1616.31,7,Silver
374,6237,2023-04-20,1724.03,8,Bronze
375,1559,2023-07-30,1636.33,2,Bronze
376,4672,2024-04-18,1030.33,7,Bronze
377,8404,2024-09-30,882.39,1,Bronze
378,4343,2023-10-03,1992.56,7,Silver
379,5070,2025-06-16,466.05,8,Bronze
380,1580,2023-01-03,1098.28,2,Gold
381,8004,2025-09-16,1344.64,9,
382,9130,2023-08-27,1404.73,1,
383,4147,2024-04-06,416.01,6,Bronze
384,5249,2024-03-30,1311.45,1,Gold
385,2679,2023-12-07,1638.56,3,Gold
386,4506,2025-07-04,109.54,6,Bronze
387,8253,2023-06-27,1823.93,3,Bronze
388,3744,2023-11-07,68.71,8,Bronze
389,6188,2024-05-21,718.38,5,Gold
390,3141,2023-02-20,41.47,2,Silver
391,7617,2025-05-21,163.52,4,Silver
392,3479,2025-01-26,1823.22,9,
393,7484,2023-01-01,716.17,4,Silver
394,8421,2023-11-17,855.3,8,Silver
395,5452,2023-09-18,438.54,5,Bronze
396,6881,2024-02-25,1198.22,1,Gold
397,7665,2024-12-11,1193.66,0,Bronze
398,3849,2024-01-15,750.68,3,Silver
399,8390,2024-03-23,672.74,8,Gold
400,7905,2025-04-20,1771.08,3,
401,3489,2023-02-26,772.74,1,Gold
402,5611,2023-02-28,992.07,5,Silver
403,3839,2025-01-31,573.78,2,Bronze
404,9527,2025-02-17,1575.67,4,Silver
405,6878,2025-10-12,800.92,1,Silver
406,7303,2024-01-13,1032.09,9,Gold
407,1851,2024-06-21,514.18,6,Silver
408,2687,2023-01-24,1975.44,8,Bronze
409,7833,2025-01-01,590.08,4,Bronze
410,3427,2025-07-10,1543.78,9,Bronze
411,5000,2024-03-01,860.72,2,Gold
412,6052,2024-04-12,420.37,9,Gold
413,3738,2024-03-31,1601.44,5,Silver
414,6732,2024-07-02,673.88,6,Silver
415,6387,2024-09-27,1731.73,3,Silver
416,9002,2025-06-04,1831.36,4,Gold
417,6536,2023-11-29,1721.05,6,Gold
418,4913,2023-03-18,79.67,7,Silver
419,2066,2023-07-28,1576.87,1,Gold
420,8723,2024-05-30,828.57,7,Gold
421,5380,2023-10-06,1748.71,1,Bronze
422,5107,2023-03-03,1279.53,5,
423,6726,2023-04-01,1668.95,6,Silver
424,4373,2023-05-29,1003.87,2,Silver
425,9945,2023-03-05,1074.7,9,Bronze
426,3082,2023-10-25,297.33,6,Gold
427,9967,2025-02-23,1570.13,7,Silver
428,7748,2023-09-27,844.59,8,Silver
429,1417,2024-07-20,1005.16,1,Silver
430,9306,2024-06-27,1572.34,8,Gold
431,9808,2024-03-06,1201.7,4,Bronze
432,4974,2023-04-06,410.19,8,Silver
433,4267,2023-10-11,1184.56,6,Bronze
434,1825,2025-08-15,821.19,9,Bronze
435,8668,2024-03-20,944.36,4,Gold
436,6745,2025-02-06,66.34,2,Gold
437,1412,2024-12-06,427.96,2,Gold
438,8543,2023-11-05,569.27,5,Gold
439,8587,2025-09-12,1428.79,9,Gold
440,1728,2024-10-13,32.87,3,
441,8164,2023-07-28,823.47,8,Silver
442,9867,2023-07-25,1848.81,4,Bronze
443,6988,2023-03-28,232.64,6,Gold
444,3504,2023-08-26,1037.68,6,Silver
445,3967,2025-10-04,1575.18,3,Bronze
446,3786,2025-10-13,1885.64,5,Gold
447,2122,2023-07-24,1496.09,3,Gold
448,5079,2024-08-03,1443.93,1,Silver
449,2571,2025-07-12,1654.71,7,Bronze
450,6073,2023-09-22,897.94,4,Gold
451,6104,2023-07-18,-1613.63,999,Bronze
452,3143,2024-07-12,25.85,3,Silver
453,7806,2024-06-29,1849.88,5,Gold
454,8357,2024-02-05,892.18,5,Bronze
455,4440,2024-01-29,1111.23,2,Silver
456,4766,2025-09-10,517.22,2,Silver
457,6644,2024-07-07,1487.64,4,Gold
458,3914,2025-08-16,162.51,4,Bronze
459,5968,2024-03-16,1746.55,4,Gold
460,6917,2024-02-22,1657.95,6,Gold
461,9787,2023-09-03,439.96,2,Bronze
462,1728,2024-04-29,1620.56,6,Bronze
463,2365,2025-09-16,1574.85,7,Bronze
464,5492,2023-04-12,1268.11,3,Silver
465,1698,2024-06-26,753.31,8,Silver
466,8186,2024-10-28,550.28,2,Bronze
467,1395,2023-11-14,471.25,8,Silver
468,8400,2025-02-26,644.03,5,Gold
469,9082,2023-01-11,1808.08,2,Bronze
470,5171,2024-10-05,164.51,7,Gold
471,5360,2024-02-19,1659.45,2,Bronze
472,3502,2025-01-09,-704.29,6,Gold
473,1717,2024-08-26,1047.98,3,Bronze
474,3782,2025-02-01,1591.03,9,Gold
475,5946,2023-06-15,1769.91,3,Bronze
476,6486,2024-11-05,696.12,3,Bronze
477,9335,2023-01-26,929.07,5,Silver
478,5980,2023-06-25,834.89,7,Gold
479,8266,2024-05-07,36.37,8,Silver
480,5491,2023-11-15,598.93,7,Gold
481,8192,2023-03-18,923.79,9,Silver
482,6588,2025-03-11,828.08,5,Bronze
483,8651,2023-12-01,1446.64,3,Silver
484,4636,2025-04-09,775.76,6,Silver
485,2167,2023-04-10,-983.86,5,Bronze
486,2062,2025-09-25,864.92,4,Silver
487,3156,2023-05-11,1483.85,2,
488,8860,2023-01-28,-1727.32,7,Gold
489,6161,2024-02-01,1068.46,5,Silver
490,6305,2025-01-06,1580.97,4,Bronze
491,7541,2023-07-24,600.61,8,Bronze
492,5729,2023-09-22,1087.33,9,Silver
493,8330,2025-10-04,697.01,9,Gold
494,6334,2023-04-07,834.26,3,Silver
495,9924,2023-04-19,1467.5,3,Bronze
496,5330,2024-06-03,1764.51,5,Gold
497,9010,2024-01-09,251.78,5,Silver
498,7801,2024-03-10,1272.93,2,Bronze
499,5846,2023-01-18,1168.47,1,Silver
500,7731,2024-07-30,245.65,8,Gold
501,8241,2024-06-26,431.67,3,Gold
502,1953,2024-09-23,628.89,1,Gold
503,3539,2023-05-09,342.19,1,Gold
504,8056,2025-01-12,495.02,2,Gold
505,2542,2023-03-21,542.53,6,Silver
506,6293,2024-09-21,677.99,6,Gold
507,2191,2023-03-12,1501.29,3,Gold
508,7313,2023-11-06,1148.11,4,Bronze
509,7938,2023-08-31,1972.63,2,Gold
510,3681,2024-02-22,835.32,2,Bronze
511,2540,2023-10-02,1510.19,7,Bronze
512,7172,2025-02-23,1744.22,1,Bronze
513,6541,2025-02-23,1361.17,7,Silver
514,2365,2023-02-05,829.61,1,
515,9691,2025-05-20,1509.65,6,Bronze
516,9702,2025-03-27,415.3,3,Silver
517,8494,2024-04-03,661.83,8,Gold
518,5312,2023-05-07,1097.9,6,Silver
519,2324,2023-05-13,1155.06,2,Gold
520,4141,2023-08-15,54.06,8,Gold
521,8419,2023-03-07,1890.78,5,Silver
522,4486,2024-06-21,1396.29,8,Silver
523,2810,2025-03-02,996.45,8,Bronze
524,7588,2024-07-28,1866.92,6,Silver
525,3923,2023-12-31,883.8,2,Silver
526,6301,2024-11-24,-1961.07,8,Silver
527,5186,2024-12-24,1029.45,6,Gold
528,9905,2023-03-14,237.43,6,Gold
529,6977,2024-06-01,1531.95,8,Gold
530,5268,2023-07-03,1361.01,1,Bronze
531,5748,2023-02-19,1548.24,2,Bronze
532,5849,2024-10-14,1903.37,999,Bronze
533,4709,2024-05-10,1555.21,8,Gold
534,7619,2024-10-02,1226.56,7,Silver
535,9647,2025-02-10,1716.04,7,Bronze
536,4072,2025-04-10,1349.76,5,Bronze
537,7530,2024-03-31,822.16,2,Gold
538,1504,2024-12-11,1772.38,6,Bronze
539,2214,2024-01-31,451.58,3,Silver
540,2531,2025-07-25,1432.14,4,Gold
541,8576,2025-06-23,1764.31,2,Gold
542,1823,2023-01-14,1465.32,2,Silver
543,1928,2023-08-29,1397.58,8,Silver
544,6029,2025-04-07,1507.75,8,Silver
545,1133,2024-09-24,935.46,6,Bronze
546,3105,2024-02-26,1749.6,5,Silver
547,4627,2024-05-06,414.84,8,Gold
548,7316,2023-11-08,263.5,4,Silver
549,2852,2025-06-04,578.16,4,Gold
550,5910,2024-02-18,1067.84,5,Gold
551,5175,2023-05-20,-1026.02,1,Bronze
552,6348,2024-12-26,1642.99,1,Silver
553,7190,2023-06-16,815.09,2,Bronze
554,2256,2024-08-03,973.85,8,Silver
