order_id,order_date,customer_id,product_id,product_name,category,quantity,price
10001,2023-10-16,9856,5878,Sandals,Shoes,3,71
10002,2025-02-07,2356,3949,Sunglasses,Accessories,2,189
10003,2024-09-05,2014,5460,Raincoat,Outerwear,5,59
10004,2024-11-29,2054,4128,Scarf,Accessories,3,144
10005,2024-05-06,2764,6497,Sunglasses,Accessories,2,205
10006,2024-07-04,7009,4154,Casual Dress,Dresses,3,104
10007,2023-05-12,5458,7230,Denim Jacket,Outerwear,4,34
10008,2024-05-03,1667,9444,Leather Jacket,Outerwear,1,283
10009,2025-02-06,4370,3237,Raincoat,Outerwear,2,200
10010,2024-07-11,6976,3766,Scarf,Accessories,5,164
10011,2025-01-19,2394,3841,Sandals,Shoes,1,165
10012,2023-10-05,9290,2505,Leather Jacket,Outerwear,1,288
10013,2025-01-27,5070,7240,Sunglasses,Accessories,2,40
10014,2023-02-28,7982,9301,Casual Dress,Dresses,1,257
10015,2025-05-03,9613,3841,Sandals,Shoes,1,232
10016,2023-05-26,6599,6815,Evening Gown,Dresses,5,28
10017,2025-02-12,4650,3394,Sandals,Shoes,5,58
10018,2023-09-04,4620,2256,Watch,Accessories,5,81
10019,2023-03-15,4190,3720,Linen Blouse,Tops,4,63
10020,2024-02-28,9789,7917,Loafers,Shoes,2,190
10021,2025-10-11,1391,7049,Floral Dress,Dresses,1,102
10022,2025-05-02,2075,9347,Watch,Accessories,5,200
10023,2024-05-02,3650,9076,Loafers,Shoes,2,238
10024,2024-09-04,3384,3071,Tank Top,Tops,2,286
10025,2023-05-06,1809,3622,Cotton T-Shirt,Tops,3,260
10026,2023-05-19,9047,6992,Puffer Jacket,Outerwear,5,275
10027,2023-08-03,6501,4066,Denim Jacket,Outerwear,5,178
10028,2023-07-27,7895,3069,Party Dress,Dresses,1,284
10029,2023-01-19,2159,2450,Boots,Shoes,1,292
10030,2023-03-12,8574,2897,Sneakers,Shoes,2,191
10031,2025-04-24,2531,7175,Raincoat,Outerwear,3,279
10032,2025-01-09,6481,6836,Loafers,Shoes,3,224
10033,2024-02-10,8548,5728,Loafers,Shoes,4,207
10034,2024-05-29,5976,9259,Cotton T-Shirt,Tops,2,151
10035,2023-01-21,6695,2081,Wool Coat,Outerwear,1,194
10036,2024-02-16,9445,2736,Handbag,Accessories,2,166
10037,2025-08-16,4548,6174,Leather Jacket,Outerwear,3,61
10038,2023-03-06,7163,7781,Belt,Accessories,1,183
10039,2025-07-24,7671,5944,Tank Top,Tops,4,57
10040,2023-12-05,6264,8426,Evening Gown,Dresses,5,110
10041,2025-07-25,2231,7430,Boots,Shoes,2,44
10042,2024-10-10,3423,7092,Linen Blouse,Tops,5,281
10043,2023-03-03,9071,4207,Sneakers,Shoes,5,142
10044,2025-10-11,5261,7435,Party Dress,Dresses,1,57
10045,2024-01-29,3908,5948,Summer Dress,Dresses,5,279
10046,2023-07-26,5712,4002,Cardigan,Tops,4,281
10047,2025-01-11,7755,3691,Summer Dress,Dresses,3,110
10048,2025-01-07,4883,3179,Belt,Accessories,4,199
10049,2025-06-01,4515,4935,Evening Gown,Dresses,2,128
10050,2025-03-16,4403,7833,Boots,Shoes,5,70
10051,2024-11-15,5598,4515,Loafers,Shoes,3,155
10052,2023-08-20,6008,6948,Sandals,Shoes,3,290
10053,2025-03-04,7222,2461,Boots,Shoes,1,237
10054,2023-06-18,5009,4901,Belt,Accessories,4,236
10055,2023-10-04,3735,2116,Denim Jacket,Outerwear,5,106
10056,2025-05-01,5491,7785,Sweatshirt,Tops,4,291
10057,2024-07-21,9593,8507,Sneakers,Shoes,1,21
10058,2025-07-12,1974,3654,Evening Gown,Dresses,4,63
10059,2025-07-13,1223,7830,Sneakers,Shoes,1,130
10060,2024-07-06,5613,8032,Casual Dress,Dresses,4,111
10061,2023-02-26,7777,6561,Summer Dress,Dresses,4,230
10062,2025-06-29,9427,3798,Loafers,Shoes,3,203
10063,2024-01-06,5211,8327,Sunglasses,Accessories,1,26
10064,2024-03-17,1225,2659,Party Dress,Dresses,2,74
10065,2023-02-20,9183,5237,Floral Dress,Dresses,1,150
10066,2025-02-01,5277,4122,Loafers,Shoes,1,61
10067,2023-03-27,2341,5819,Party Dress,Dresses,2,90
10068,2024-03-16,5036,8969,Casual Dress,Dresses,3,102
10069,2025-06-05,9401,5343,Boots,Shoes,2,68
10070,2023-02-02,4727,7810,Loafers,Shoes,1,142
10071,2024-05-12,4928,4550,Tank Top,Tops,2,275
10072,2025-05-05,3803,6890,Sunglasses,Accessories,5,120
10073,2025-03-18,7558,3586,Scarf,Accessories,5,141
10074,2023-11-07,1393,6682,Floral Dress,Dresses,2,145
10075,2024-02-20,7839,8799,Scarf,Accessories,5,199
10076,2024-07-14,9795,9510,Party Dress,Dresses,5,105
10077,2023-06-04,1581,4747,Cotton T-Shirt,Tops,4,185
10078,2023-02-04,1132,2634,Sandals,Shoes,3,31
10079,2025-04-17,3838,8987,Boots,Shoes,5,278
10080,2023-10-26,4385,7370,High Heels,Shoes,1,162
10081,2025-05-31,4770,9975,Belt,Accessories,2,233
10082,2025-10-16,3268,4882,Tank Top,Tops,2,147
10083,2024-06-03,1975,7249,Handbag,Accessories,3,247
10084,2023-04-02,8605,4811,Scarf,Accessories,5,119
10085,2025-08-06,8213,6453,Sweatshirt,Tops,2,123
10086,2025-03-25,3835,6015,Sweatshirt,Tops,2,77
10087,2023-12-23,3738,4739,Cotton T-Shirt,Tops,5,169
10088,2023-08-09,5134,7527,Cotton T-Shirt,Tops,5,150
10089,2023-03-05,7833,3884,Sneakers,Shoes,2,86
10090,2025-01-14,9353,3518,Wool Coat,Outerwear,1,274
10091,2023-09-17,2909,2621,Raincoat,Outerwear,2,76
10092,2025-05-09,2963,6577,Cotton T-Shirt,Tops,5,91
10093,2023-06-07,6153,7075,Raincoat,Outerwear,1,121
10094,2023-07-19,1966,7969,Puffer Jacket,Outerwear,2,131
10095,2025-06-25,1889,9245,Cardigan,Tops,2,65
10096,2025-01-13,4061,7073,Puffer Jacket,Outerwear,2,115
10097,2024-08-06,7461,3537,Belt,Accessories,4,121
10098,2025-03-31,7166,9488,Evening Gown,Dresses,3,227
10099,2024-12-16,7967,9955,Summer Dress,Dresses,2,100
10100,2023-08-10,9101,4337,Cotton T-Shirt,Tops,3,200
10101,2023-03-07,8379,7416,Sneakers,Shoes,4,40
10102,2023-02-26,8280,7800,Cardigan,Tops,4,290
10103,2025-10-09,2067,8895,Sneakers,Shoes,4,286
10104,2024-06-30,5223,3994,Party Dress,Dresses,5,134
10105,2024-12-27,5607,9642,Sweatshirt,Tops,4,81
10106,2025-05-06,4985,4070,Handbag,Accessories,2,168
10107,2025-06-28,4179,6901,Denim Jacket,Outerwear,5,85
10108,2024-05-28,5538,8315,Sandals,Shoes,2,54
10109,2024-08-13,3362,6930,Raincoat,Outerwear,1,101
10110,2023-12-13,3224,4365,Wool Coat,Outerwear,1,46
10111,2024-03-04,7371,7003,Cardigan,Tops,5,273
10112,2024-12-14,2726,4845,Leather Jacket,Outerwear,5,42
10113,2024-02-01,6791,5038,Belt,Accessories,5,65
10114,2025-10-10,9073,2854,Puffer Jacket,Outerwear,5,186
10115,2023-12-03,9458,9360,Sweatshirt,Tops,5,131
10116,2025-07-02,8013,4728,Scarf,Accessories,2,300
10117,2024-02-18,1837,2915,Casual Dress,Dresses,4,137
10118,2025-08-11,5584,9285,Puffer Jacket,Outerwear,3,255
10119,2023-03-26,1686,9173,Tank Top,Tops,2,244
10120,2024-11-26,1356,6938,Party Dress,Dresses,4,257
10121,2024-12-23,5647,8626,Summer Dress,Dresses,5,20
10122,2024-12-19,5418,2131,High Heels,Shoes,4,193
10123,2023-09-14,7642,3116,Scarf,Accessories,2,175
10124,2024-09-15,4391,9930,Leather Jacket,Outerwear,1,241
10125,2024-12-30,5357,5593,Tank Top,Tops,3,70
10126,2023-04-18,5879,9730,Boots,Shoes,2,200
10127,2024-04-11,6319,2860,Scarf,Accessories,5,225
10128,2023-12-09,3739,2293,Loafers,Shoes,4,90
10129,2025-02-12,5784,4688,Handbag,Accessories,1,220
10130,2024-07-20,1877,2999,Belt,Accessories,2,141
10131,2024-01-11,3870,8535,Raincoat,Outerwear,5,122
10132,2025-06-18,1292,4296,Belt,Accessories,2,140
10133,2023-11-21,9728,5685,Sneakers,Shoes,3,235
10134,2025-01-03,3686,9762,Watch,Accessories,3,231
10135,2023-03-01,1233,8846,Wool Coat,Outerwear,3,266
10136,2025-08-27,3374,9584,Raincoat,Outerwear,3,215
10137,2025-06-16,3272,9310,High Heels,Shoes,4,178
10138,2023-11-01,1966,7356,Party Dress,Dresses,2,97
10139,2025-08-04,1889,2286,Party Dress,Dresses,5,165
10140,2024-07-14,4863,8420,Sunglasses,Accessories,2,262
10141,2023-11-21,7154,8530,Sweatshirt,Tops,5,285
10142,2023-09-30,4400,9549,Sunglasses,Accessories,5,120
10143,2023-10-03,9226,2449,High Heels,Shoes,4,224
10144,2024-06-02,5542,4338,High Heels,Shoes,3,139
10145,2025-08-06,4523,5240,Sneakers,Shoes,5,136
10146,2024-03-30,2763,8586,Sneakers,Shoes,5,185
10147,2025-08-29,4291,4703,Sneakers,Shoes,2,131
10148,2024-12-04,3488,7303,Raincoat,Outerwear,1,136
10149,2025-08-09,2558,5116,Party Dress,Dresses,2,195
10150,2023-03-14,5690,7874,Loafers,Shoes,5,179
10151,2024-11-21,7121,8970,Tank Top,Tops,3,171
10152,2025-03-18,3276,8065,Linen Blouse,Tops,5,167
10153,2024-04-20,5439,9435,Sweatshirt,Tops,4,56
10154,2023-02-24,2103,6571,Tank Top,Tops,1,200
10155,2024-03-24,8520,2252,Wool Coat,Outerwear,4,156
10156,2024-06-19,6409,3419,Tank Top,Tops,3,292
10157,2024-11-19,8869,4336,Sandals,Shoes,5,120
10158,2023-12-30,3956,3235,Watch,Accessories,4,270
10159,2025-07-15,8710,2999,Cardigan,Tops,3,299
10160,2023-05-06,7017,5760,Leather Jacket,Outerwear,2,257
10161,2023-04-28,4384,6116,Wool Coat,Outerwear,1,143
10162,2023-09-13,1028,6411,Cardigan,Tops,4,163
